,,Liquid,,,,Vapor,,,,,,,,,,,,,,,,,,,
Temp. (C),Press.   (bar),"Volume      (vf, m3/kg)","Internal Energy (uf, kJ/kg)","Enthalpy    (hf, kJ/kg)","Entropy     (sf, kJ/kg/K)","Volume   (vg, m3/kg)","Internal Energy (ug, kJ/kg)","Enthalpy (hg, kJ/kg)","Entropy     (sg, kJ/kg/K)",,,,,,,,,,,,,,,,
0.01,0.0061165,0.0010002,0.0000,0.00061178,0.000000,205.99,2374.9,2500.9,9.1555,,,,,,,,,,,,,,,,
4,0.0081355,0.0010001,16.812,16.813,0.061103,157.12,2380.4,2508.2,9.0505,,,,,,,,,,,,,,,,
5,0.0087258,0.0010001,21.019,21.020,0.076254,147.01,2381.8,2510.1,9.0248,,,,,,,,,,,,,,,,
6,0.0093536,0.0010001,25.223,25.224,0.091342,137.63,2383.2,2511.9,8.9993,,,,,,,,,,,,,,,,
8,0.010730,0.0010002,33.626,33.627,0.121330,120.83,2385.9,2515.6,8.9491,,,,,,,,,,,,,,,,
10,0.012282,0.0010003,42.020,42.021,0.151090,106.30,2388.6,2519.2,8.8998,,,,,,,,,,,,,,,,
11,0.013130,0.0010004,46.215,46.216,0.165870,99.787,2390.0,2521.0,8.8754,,,,,,,,,,,,,,,,
12,0.014028,0.0010005,50.408,50.409,0.180610,93.719,2391.4,2522.9,8.8513,,,,,,,,,,,,,,,,
13,0.014981,0.0010007,54.600,54.601,0.195280,88.064,2392.8,2524.7,8.8274,,,,,,,,,,,,,,,,
14,0.015990,0.0010008,58.790,58.792,0.209900,82.793,2394.1,2526.5,8.8037,,,,,,,,,,,,,,,,
15,0.017058,0.0010009,62.980,62.981,0.224460,77.875,2395.5,2528.3,8.7803,,,,,,,,,,,,,,,,
16,0.018188,0.0010011,67.168,67.170,0.238970,73.286,2396.9,2530.2,8.7570,,,,,,,,,,,,,,,,
17,0.019384,0.0010013,71.355,71.357,0.253430,69.001,2398.2,2532.0,8.7339,,,,,,,,,,,,,,,,
18,0.020647,0.0010014,75.542,75.544,0.267830,64.998,2399.6,2533.8,8.7111,,,,,,,,,,,,,,,,
